0.020191,0.265711,0.383605,0.297749,0.032744
0.172398,0.526678,0.070116,0.009018,0.221790
0.996381,0.001372,0.000014,0.000001,0.002232
0.004959,0.001755,0.941365,0.001928,0.049993
0.685567,0.034770,0.121290,0.029816,0.128557
0.000243,0.000006,0.000044,0.999706,0.000001
0.214013,0.089424,0.096678,0.556226,0.043659
0.943049,0.001673,0.004686,0.040464,0.010127
0.975022,0.009739,0.000319,0.000586,0.014334
0.217829,0.421058,0.103678,0.196416,0.061020
0.007495,0.002230,0.001347,0.988782,0.000146
0.504658,0.102197,0.006878,0.000153,0.386115
0.003941,0.995783,0.000013,0.000003,0.000260
0.382325,0.058870,0.408054,0.014559,0.136192
0.000010,0.000018,0.999255,0.000004,0.000713
0.595040,0.015536,0.095569,0.259102,0.034753
0.063233,0.029376,0.688264,0.018224,0.200904
0.000000,0.000000,0.999969,0.000000,0.000030
0.050670,0.033819,0.495366,0.368172,0.051973
0.200440,0.478630,0.071422,0.022380,0.227128
0.006898,0.002282,0.943239,0.018950,0.028631
0.000010,0.999795,0.000002,0.000000,0.000193
0.024820,0.004767,0.097741,0.000017,0.872655
0.132789,0.140326,0.094387,0.125422,0.507076
0.000112,0.000078,0.000512,0.999282,0.000015
0.714557,0.064162,0.015134,0.176149,0.029998
0.000013,0.000002,0.000122,0.999863,0.000000
0.000293,0.000051,0.996886,0.000072,0.002698
0.999945,0.000002,0.000000,0.000000,0.000053
0.357409,0.091828,0.168876,0.020579,0.361308
0.000020,0.000000,0.000013,0.999967,0.000000
0.058896,0.646460,0.158709,0.091301,0.044634
0.001782,0.000019,0.002938,0.995249,0.000012
0.883559,0.005249,0.022067,0.078945,0.010181
0.022231,0.005701,0.347898,0.615377,0.008793
0.000247,0.999753,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,1.000000,0.000000
0.024087,0.030543,0.114352,0.000152,0.830866
0.000942,0.000101,0.124264,0.000000,0.874693
0.427221,0.008802,0.039491,0.000340,0.524147
0.383962,0.226396,0.105876,0.185336,0.098430
0.209942,0.376622,0.161473,0.136545,0.115419
0.000004,0.000001,0.999952,0.000010,0.000033
0.161310,0.685174,0.050331,0.020394,0.082791
0.017822,0.759553,0.004140,0.218044,0.000441
0.009482,0.003348,0.958568,0.007685,0.020917
0.488367,0.043704,0.169176,0.077821,0.220932
0.000560,0.000242,0.011863,0.987197,0.000138
0.000000,1.000000,0.000000,0.000000,0.000000
0.021384,0.003190,0.006351,0.968025,0.001051
0.002086,0.002255,0.425802,0.000009,0.569848
0.239665,0.080447,0.265119,0.020761,0.394009
0.011300,0.000380,0.425450,0.000025,0.562844
0.002885,0.001854,0.149555,0.000000,0.845706
0.033746,0.030463,0.300834,0.000356,0.634602
0.000021,0.999979,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,1.000000,0.000000
0.278455,0.005983,0.007637,0.000039,0.707885
0.108144,0.143859,0.267400,0.011344,0.469253
0.178947,0.017028,0.628556,0.124492,0.050977
0.008966,0.989479,0.000780,0.000235,0.000540
0.000826,0.998022,0.000071,0.001035,0.000046
0.121420,0.024039,0.090692,0.740001,0.023848
0.039695,0.007155,0.796141,0.011341,0.145668
0.001960,0.997784,0.000027,0.000139,0.000090
0.001350,0.001583,0.978624,0.013694,0.004749
0.244694,0.183169,0.007188,0.000227,0.564723
0.002172,0.023031,0.784094,0.000349,0.190354
0.756956,0.216849,0.002405,0.013508,0.010282
